TIME	OFI	DELTA_MID
10:38:10	-75.0	0
10:38:20	0.0	0
10:38:30	-335.0	-3
10:38:40	145.0	2
10:38:50	-100.0	-1
10:39:00	-140.0	-1
10:39:10	-105.0	0
10:39:20	-315.0	-3
10:39:30	-685.0	-4
10:39:40	5.0	1
10:39:50	-70.0	0
10:40:00	240.0	1
10:40:10	550.0	4
10:40:20	-325.0	-2
10:40:30	170.0	1
10:40:40	160.0	0
10:40:50	-220.0	-1
10:41:00	-265.0	0
10:41:10	-70.0	0
10:41:20	-140.0	-1
10:41:30	140.0	0
10:41:40	-400.0	-2
10:41:50	-215.0	0
10:42:00	-10.0	0
10:42:10	-540.0	-3
10:42:20	130.0	1
10:42:30	-360.0	-2
10:42:40	-180.0	0
10:42:50	-50.0	0
10:43:00	-15.0	0
10:43:10	355.0	1
10:43:20	-25.0	0
10:43:30	-195.0	-1
10:43:40	-5.0	0
10:43:50	335.0	2
10:44:00	5.0	0
10:44:10	-155.0	-1
10:44:20	-70.0	0
10:44:30	-30.0	0
10:44:40	65.0	0
10:44:50	175.0	0
10:45:00	185.0	1
10:45:10	245.0	2
10:45:20	-45.0	0
10:45:30	105.0	0
10:45:40	-200.0	-2
10:45:50	85.0	1
10:46:00	-140.0	-1
10:46:10	0.0	0
10:46:20	135.0	2
10:46:30	55.0	0
10:46:40	-110.0	0
10:46:50	-25.0	0
10:47:00	150.0	1
10:47:10	140.0	1
10:47:20	285.0	1
10:47:30	-80.0	0
10:47:40	120.0	1
10:47:50	-170.0	-1
10:48:00	60.0	0
10:48:10	-330.0	-2
10:48:20	100.0	1
10:48:30	-165.0	-2
10:48:40	5.0	0
10:48:50	10.0	0
10:49:00	380.0	5
10:49:10	515.0	3
10:49:20	-105.0	-1
10:49:30	335.0	3
10:49:40	375.0	2
10:49:50	-455.0	-3
10:50:00	5.0	1
10:50:10	-85.0	-1
10:50:20	40.0	1
10:50:30	-145.0	-1
10:50:40	-185.0	-2
10:50:50	360.0	2
10:51:00	10.0	0
10:51:10	140.0	1
10:51:20	-170.0	-1
10:51:30	-60.0	-1
10:51:40	-95.0	0
10:51:50	0.0	0
10:52:00	70.0	0
10:52:10	-50.0	0
10:52:20	-35.0	0
10:52:30	-80.0	0
10:52:40	-120.0	-1
10:52:50	-125.0	-1
10:53:00	-110.0	-1
10:53:10	265.0	2
10:53:20	-450.0	-3
10:53:30	-40.0	0
10:53:40	-205.0	0
10:53:50	255.0	1
10:54:00	-215.0	-1
10:54:10	0.0	0
10:54:20	-280.0	-2
10:54:30	-430.0	-2
10:54:40	-285.0	-1
10:54:50	-160.0	0
10:55:00	40.0	0
10:55:10	135.0	1
10:55:20	-140.0	-1
10:55:30	25.0	0
10:55:40	-100.0	-1
10:55:50	-340.0	-2
10:56:00	-190.0	-1
10:56:10	70.0	0
10:56:20	-105.0	0
10:56:30	-35.0	0
10:56:40	5.0	0
10:56:50	-40.0	0
10:57:00	155.0	1
10:57:10	-110.0	-1
10:57:20	-180.0	-1
10:57:30	30.0	0
10:57:40	30.0	0
10:57:50	-70.0	0
10:58:00	315.0	2
10:58:10	135.0	2
10:58:20	-70.0	-1
10:58:30	405.0	2
10:58:40	35.0	0
10:58:50	325.0	2
10:59:00	235.0	1
10:59:10	45.0	0
10:59:20	-80.0	0
10:59:30	150.0	0
10:59:40	30.0	0
10:59:50	225.0	1
11:00:00	105.0	1
11:00:10	-55.0	-1
11:00:20	-175.0	-1
11:00:30	-35.0	0
11:00:40	150.0	1
11:00:50	190.0	0
11:01:00	180.0	1
11:01:10	0.0	0
11:01:20	-120.0	-1
11:01:30	-130.0	0
11:01:40	-330.0	-2
11:01:50	65.0	1
11:02:00	85.0	0
11:02:10	-80.0	0
11:02:20	-110.0	0
11:02:30	-740.0	-3
11:02:40	10.0	2
11:02:50	-125.0	-1
11:03:00	40.0	0
11:03:10	190.0	0
11:03:20	5.0	0
11:03:30	20.0	0
11:03:40	-75.0	-1
11:03:50	-5.0	0
11:04:00	-800.0	-2
11:04:10	-720.0	-2
11:04:20	-85.0	0
11:04:30	15.0	-1
11:04:40	-5.0	0
11:04:50	90.0	1
11:05:00	285.0	1
11:05:10	-290.0	-1
11:05:20	-5.0	0
11:05:30	-285.0	-1
11:05:40	160.0	1
11:05:50	135.0	1
11:06:00	-240.0	-1
11:06:10	-95.0	-1
11:06:20	105.0	1
11:06:30	0.0	0
11:06:40	-70.0	0
11:06:50	15.0	0
11:07:00	-105.0	-1
11:07:10	-1150.0	-4
11:07:20	30.0	0
11:07:30	70.0	0
11:07:40	40.0	0
11:07:50	430.0	2
11:08:00	-415.0	-2
11:08:10	-135.0	0
11:08:20	130.0	0
11:08:30	-65.0	0
11:08:40	45.0	0
11:08:50	-365.0	-1
11:09:00	-140.0	-1
11:09:10	-495.0	-2
11:09:20	-85.0	-1
11:09:30	-320.0	-2
11:09:40	-235.0	-1
11:09:50	120.0	1
11:10:00	-35.0	0
11:10:10	550.0	3
11:10:20	95.0	0
11:10:30	610.0	4
11:10:40	-170.0	-1
11:10:50	60.0	1
11:11:00	125.0	1
11:11:10	45.0	0
11:11:20	115.0	1
11:11:30	-10.0	0
11:11:40	-100.0	-1
11:11:50	-10.0	0
11:12:00	-145.0	-1
11:12:10	-295.0	-2
11:12:20	-275.0	-2
11:12:30	40.0	0
11:12:40	-445.0	-2
11:12:50	30.0	0
11:13:00	-20.0	0
11:13:10	135.0	1
11:13:20	105.0	1
11:13:30	55.0	0
11:13:40	165.0	1
11:13:50	150.0	2
11:14:00	10.0	0
11:14:10	-490.0	-4
11:14:20	-55.0	0
11:14:30	-90.0	0
11:14:40	-15.0	0
11:14:50	20.0	0
11:15:00	-70.0	0
11:15:10	215.0	2
